Application_mode,Course,Previous_qualification,Previous_qualification_grade,Mothers_occupation,Admission_grade,Displaced,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,GDP,Status,Curricular_units_credited_avg,Curricular_units_enrolled_avg,Curricular_units_evaluations_avg,Curricular_units_approved_avg,Curricular_units_grade_avg,Curricular_units_without_evaluations_avg
18,9500,1,135.0,9,125.3,1,0,1,0,1,18,-1.7,Graduate,0.0,8.0,8.0,7.0,11.785714285714286,0.0
1,9500,1,137.0,4,126.3,1,0,1,0,1,18,-3.12,Graduate,0.0,8.0,8.0,8.0,13.42375,0.0
1,9670,1,100.0,9,100.0,0,0,1,0,0,20,2.02,Graduate,0.0,6.0,9.0,5.5,13.333333333333332,0.0
17,9500,1,127.0,9,121.3,1,0,1,0,1,20,1.74,Graduate,0.0,8.0,8.0,7.0,12.464285714285714,0.0
53,9991,1,140.0,191,135.0,0,1,1,0,0,23,3.51,Enrolled,4.5,10.0,16.5,6.5,12.4875,0.0
39,9670,1,140.0,6,120.0,0,0,1,0,0,28,1.74,Dropout,0.0,6.0,8.5,0.5,5.0,0.0
17,9773,1,121.0,9,113.7,0,0,1,0,0,18,-4.06,Enrolled,0.0,6.0,9.0,5.5,12.514285714285714,0.0
43,9147,1,131.0,9,129.7,1,0,1,0,0,19,-0.92,Graduate,0.0,5.0,5.5,4.5,12.5,0.0
1,9147,1,151.0,9,132.1,1,0,1,0,0,34,0.32,Dropout,0.0,5.0,6.5,3.0,11.0,0.0
51,9853,1,130.0,7,120.3,0,0,1,0,0,35,3.51,Dropout,0.0,6.5,3.5,0.0,0.0,0.0
7,9991,40,120.0,9,120.0,0,0,1,0,0,32,1.79,Graduate,0.0,5.0,7.5,5.0,11.966666666666667,0.0
17,9254,1,136.0,4,123.1,1,0,1,0,0,19,2.02,Graduate,0.0,6.0,7.0,6.0,12.833333333333332,0.0
17,9670,1,125.0,9,119.4,1,0,1,0,0,18,2.02,Graduate,0.0,6.0,8.5,4.5,13.133333333333333,0.0
39,9147,1,133.1,9,140.0,0,0,0,0,0,35,-3.12,Dropout,0.0,5.0,8.0,4.5,12.15,0.5
39,8014,1,133.1,4,116.5,0,0,1,1,1,24,1.79,Enrolled,0.0,6.0,8.0,4.0,11.875,0.0
17,9238,1,120.0,9,113.0,1,0,1,0,1,20,0.79,Graduate,0.0,6.0,7.5,6.0,12.169642857142858,0.0
1,9773,1,143.0,4,133.9,1,0,1,1,1,18,-0.92,Graduate,0.0,6.0,7.0,6.0,13.25,0.0
1,9500,1,133.1,7,115.5,1,0,1,1,1,20,1.74,Graduate,0.0,8.0,8.0,7.0,13.024285714285714,0.0
17,9254,1,121.0,4,116.5,1,0,0,1,0,18,-3.12,Dropout,0.0,6.0,6.0,0.0,0.0,0.0
1,9119,1,168.0,4,171.2,0,0,1,1,1,18,1.79,Graduate,0.0,5.0,7.0,5.0,17.952380952380953,0.0
1,9670,1,124.0,5,119.1,0,0,1,1,1,20,-3.12,Graduate,0.0,5.0,7.0,4.0,11.25,0.0
17,9853,1,127.0,3,121.1,1,0,1,1,0,19,1.79,Dropout,0.0,7.0,9.5,6.0,13.083333333333332,0.0
1,9070,1,129.0,4,132.9,1,0,1,1,1,20,0.32,Enrolled,0.0,6.0,7.5,5.5,12.5875,0.0
1,9238,1,137.0,9,132.8,0,0,1,1,0,19,1.74,Graduate,0.0,6.0,7.0,6.0,12.333333333333334,0.0
1,9773,1,120.0,0,126.7,1,0,1,1,0,20,0.32,Graduate,0.0,6.0,10.0,4.5,12.05,0.0
1,9500,1,110.0,9,105.8,1,0,1,1,0,22,2.02,Graduate,0.0,7.5,8.5,6.5,14.052380952380954,0.0
17,9119,1,120.0,9,117.2,0,0,1,1,1,18,2.02,Enrolled,0.0,5.5,9.0,5.0,13.5625,0.0
1,9500,1,143.0,9,140.0,0,0,1,1,0,19,-1.7,Graduate,0.0,8.0,8.0,7.0,14.285714285714286,0.0
44,9003,39,120.0,9,120.0,0,0,1,1,0,22,0.79,Dropout,1.0,6.0,13.5,2.5,10.875,0.0
17,9119,1,124.0,2,119.5,1,0,1,1,0,20,3.51,Graduate,0.0,5.0,5.0,5.0,16.200000000000003,0.0
39,9003,1,168.0,9,153.9,0,1,0,1,0,34,1.79,Dropout,0.0,6.0,3.5,0.0,0.0,0.0
39,8014,19,133.1,4,130.0,0,0,1,1,0,24,-0.92,Dropout,0.0,5.5,9.5,0.5,5.0,0.0
39,9670,1,150.0,0,107.0,1,0,1,1,0,26,0.32,Dropout,0.0,5.0,5.0,0.0,0.0,0.0
39,9500,1,140.0,9,132.8,0,0,1,1,0,35,1.79,Dropout,0.0,7.0,9.5,4.5,12.49,0.0
1,9991,1,145.0,4,127.5,1,0,1,1,0,22,0.32,Graduate,0.0,5.0,8.0,5.0,12.114285714285714,0.5
18,9254,1,118.0,5,123.3,1,0,1,1,0,26,-3.12,Enrolled,0.0,6.0,10.5,3.5,11.0,0.0
17,9147,1,123.0,3,122.0,0,0,1,1,0,19,3.51,Dropout,0.0,5.0,6.0,1.5,6.166666666666667,0.0
1,9254,1,120.0,3,114.8,1,0,0,1,0,19,3.51,Dropout,0.0,6.0,0.0,0.0,0.0,0.0
44,171,39,140.0,2,140.0,0,1,1,1,0,20,-4.06,Graduate,0.0,0.0,0.0,0.0,0.0,0.0
51,9670,1,126.0,1,111.0,0,1,1,1,0,21,2.02,Graduate,3.5,9.5,10.5,9.0,12.716666666666667,0.0
1,9773,1,137.0,7,133.2,1,0,1,0,1,19,0.79,Graduate,0.0,6.0,6.5,6.0,14.857142857142858,0.0
1,9773,1,130.0,9,123.0,1,0,1,0,0,18,-1.7,Graduate,0.0,6.0,6.5,6.0,12.75,0.0
53,9003,42,150.0,8,150.0,0,0,1,0,1,23,3.51,Graduate,6.0,11.0,13.0,11.0,13.842307692307692,0.0
17,9147,1,147.0,5,132.3,1,0,1,0,1,18,-1.7,Graduate,0.0,5.0,5.5,5.0,12.8,0.0
18,9500,1,140.0,5,126.0,1,0,1,0,0,18,-1.7,Graduate,0.0,8.0,8.0,7.0,13.314285714285717,0.0
1,9500,1,132.0,9,119.3,1,0,1,0,0,19,1.74,Graduate,0.0,8.0,8.0,7.0,11.98857142857143,0.0
53,9147,42,130.0,143,133.8,1,0,1,0,0,21,3.51,Graduate,4.5,10.0,15.0,9.5,12.217171717171716,0.0
1,9085,1,130.0,9,126.5,1,0,1,0,1,18,-4.06,Graduate,0.0,6.0,10.5,6.0,15.16826923076923,0.0
1,9773,1,151.0,9,138.4,1,0,1,0,1,24,1.74,Graduate,0.0,6.0,6.5,6.0,13.25,0.0
1,9500,1,144.0,2,129.0,1,0,1,0,0,18,-0.92,Dropout,0.0,7.5,8.5,7.5,13.030555555555555,0.0
1,9670,1,127.0,5,118.3,1,0,1,0,0,18,0.79,Enrolled,0.0,6.0,8.5,4.5,12.166666666666668,0.0
17,9500,1,131.0,9,129.8,1,0,1,0,0,20,1.79,Graduate,0.0,7.5,9.0,6.5,14.51,0.0
17,9085,1,123.0,4,113.6,1,0,1,0,0,19,-3.12,Enrolled,0.0,5.0,10.5,3.5,11.875,1.0
1,9773,1,130.0,0,128.3,1,0,0,0,1,18,0.32,Dropout,0.0,6.0,13.5,3.0,11.333333333333332,0.0
43,9254,1,130.0,5,130.0,0,0,1,0,1,19,1.74,Dropout,0.0,6.0,12.5,3.5,11.5,0.0
17,9853,1,131.0,4,121.9,1,0,1,0,0,19,1.74,Graduate,0.0,6.0,8.5,5.0,11.899999999999999,0.0
1,9238,3,135.0,9,129.4,0,1,1,0,0,18,1.74,Graduate,0.0,6.0,6.0,6.0,12.25,0.0
1,9853,1,123.0,194,115.3,1,0,1,0,0,20,2.02,Enrolled,0.0,7.0,8.0,6.0,13.75,0.0
1,9500,1,145.0,9,125.5,1,0,1,0,1,18,-3.12,Graduate,0.0,8.0,8.0,8.0,13.76375,0.0
17,9556,1,118.0,5,117.8,1,0,1,0,1,19,2.02,Graduate,0.0,7.0,9.5,6.0,12.600000000000001,0.0
17,9147,1,125.0,2,118.7,1,0,1,0,0,18,0.79,Enrolled,0.0,5.0,13.5,3.0,11.333333333333332,0.0
1,9500,1,152.0,9,139.0,1,0,1,0,0,18,0.32,Graduate,0.0,7.0,7.0,6.0,14.333333333333334,0.0
1,9085,1,101.0,4,98.9,1,0,1,0,0,21,2.02,Enrolled,0.0,6.0,12.5,3.0,12.583333333333332,0.0
17,9254,1,137.0,0,137.7,1,1,0,0,0,19,0.32,Dropout,0.0,6.0,13.5,0.5,5.0,0.0
1,9500,1,123.0,3,113.6,1,0,1,0,0,21,1.79,Graduate,0.0,7.5,8.5,7.5,14.659236111111111,0.0
1,9085,1,120.0,2,113.4,0,0,1,0,0,18,2.02,Enrolled,0.0,6.0,15.5,3.5,12.625,0.0
17,9556,1,131.0,9,128.5,0,0,1,0,1,18,-1.7,Graduate,0.0,7.5,8.5,7.5,13.384027777777778,0.0
1,9500,1,141.0,3,142.8,0,0,1,0,0,18,2.02,Graduate,0.0,7.5,8.0,7.5,13.847222222222221,0.0
1,9130,1,144.0,1,137.7,0,0,0,0,0,23,1.74,Dropout,0.5,5.0,9.5,0.5,6.0,3.0
1,9238,1,107.0,7,103.5,1,0,1,0,0,20,-0.92,Enrolled,0.0,6.0,11.0,3.5,11.6,0.0
1,9500,1,133.0,5,123.2,0,0,1,0,0,18,-0.92,Graduate,0.0,7.5,8.0,7.5,13.30952380952381,0.0
17,9853,1,126.0,2,126.0,1,0,1,0,0,19,0.32,Enrolled,0.0,6.0,8.5,5.0,11.7,0.0
39,9500,1,133.1,3,121.7,0,0,1,0,1,27,1.79,Enrolled,0.0,7.0,8.5,6.0,12.142857142857142,0.0
17,9147,1,147.0,9,142.8,1,1,0,0,1,19,2.02,Enrolled,0.0,5.0,5.0,4.5,12.4,0.0
43,9130,1,120.0,9,120.0,1,0,1,0,0,21,-4.06,Dropout,0.0,6.0,13.5,5.0,11.25,1.0
18,9500,1,130.0,7,119.3,1,0,1,0,1,19,1.74,Graduate,0.0,8.0,8.0,7.0,11.4,0.0
44,9238,1,120.0,6,121.0,0,0,1,0,1,21,0.79,Graduate,2.5,6.0,7.0,6.0,11.833333333333334,0.0
1,9773,1,138.0,9,139.4,1,0,1,0,0,18,1.74,Graduate,0.0,6.0,8.5,4.5,12.5,0.0
17,9085,1,124.0,7,113.9,1,0,1,0,1,20,-1.7,Graduate,0.0,5.0,8.0,4.5,13.5,1.0
1,9853,1,133.0,9,124.6,1,0,1,0,1,18,-3.12,Graduate,0.0,6.0,8.5,5.0,13.25,0.0
17,9070,1,122.0,4,123.8,1,1,0,0,1,18,-1.7,Dropout,0.0,6.0,7.0,6.0,11.416666666666668,0.0
1,9085,1,138.0,4,126.3,1,0,1,0,0,18,3.51,Graduate,0.0,6.0,8.5,6.0,13.666666666666668,0.0
17,9773,1,134.0,3,120.4,1,0,1,0,1,18,-0.92,Graduate,0.0,6.0,6.0,6.0,12.916666666666668,0.0
1,9500,1,128.0,7,120.5,1,0,1,0,1,19,1.79,Enrolled,0.0,7.0,8.5,6.0,12.77,0.0
53,9085,42,140.0,8,144.9,1,1,0,0,0,23,3.51,Enrolled,5.5,10.0,16.5,9.5,13.25,0.0
39,9085,19,133.1,4,139.9,1,0,1,0,1,24,3.51,Graduate,0.5,6.0,9.0,6.0,12.666666666666668,0.0
1,171,1,142.0,3,133.3,1,0,1,0,0,19,1.74,Graduate,0.0,0.0,0.0,0.0,0.0,0.0
1,9500,1,141.0,9,126.0,1,0,1,0,0,18,-1.7,Graduate,0.0,8.0,8.0,7.0,15.657142857142857,0.0
1,9070,1,145.0,4,133.5,0,0,1,0,0,19,-1.7,Graduate,0.0,6.0,6.0,6.0,11.75,0.0
17,9853,1,145.0,4,127.9,1,0,1,0,0,19,1.74,Dropout,0.0,6.0,0.0,0.0,0.0,0.0
1,9238,1,108.0,5,105.9,0,0,1,0,1,20,2.02,Enrolled,0.0,6.0,10.0,5.0,10.883333333333333,0.0
1,9085,1,132.0,4,124.3,0,0,1,0,0,20,0.79,Enrolled,0.0,6.0,10.5,5.5,13.047619047619047,0.0
39,9773,1,140.0,0,102.5,0,0,1,0,0,26,0.32,Dropout,0.0,6.0,10.0,2.0,5.875,0.0
39,9254,19,133.1,9,97.0,0,1,0,1,0,36,-4.06,Dropout,0.0,5.0,7.5,0.0,0.0,0.0
17,171,1,128.0,4,134.7,0,0,0,1,0,19,1.74,Dropout,0.0,0.0,0.0,0.0,0.0,0.0
42,9119,1,120.0,9,113.8,0,0,0,1,0,27,-4.06,Dropout,0.0,5.0,0.0,0.0,0.0,0.0
1,9119,1,120.0,123,116.9,0,0,1,1,0,18,3.51,Dropout,0.0,5.0,7.0,0.5,6.5,0.0
1,9500,1,139.0,9,124.0,1,0,1,1,1,18,1.74,Graduate,0.0,8.0,8.0,7.0,13.331428571428573,0.0
39,9070,1,139.3,5,117.5,0,0,1,1,0,28,1.79,Dropout,0.0,6.0,0.0,0.0,0.0,0.0
44,171,39,150.0,9,154.8,1,0,1,1,0,21,1.79,Graduate,0.0,0.0,0.0,0.0,0.0,0.0
1,9500,1,138.0,4,141.0,0,0,1,1,0,19,0.32,Graduate,0.0,7.0,7.0,6.0,13.7,0.0
39,9670,9,133.1,3,120.0,0,1,0,1,0,26,-3.12,Dropout,0.0,5.0,5.0,0.0,0.0,2.5
51,9119,1,136.0,3,133.6,1,0,1,1,0,20,2.02,Dropout,3.0,8.0,10.5,7.5,13.664772727272728,0.0
1,9500,1,134.0,9,122.0,1,0,1,1,0,19,-1.7,Graduate,0.0,8.0,8.0,7.0,12.2,0.0
1,9147,1,140.0,7,120.0,1,0,1,1,0,21,-1.7,Dropout,0.0,5.0,9.0,3.5,10.5,0.0
53,9670,42,110.0,9,114.2,0,0,1,1,1,23,3.51,Graduate,0.0,6.0,7.0,5.5,12.928571428571429,0.0
39,8014,38,133.1,4,95.5,0,0,1,1,0,29,2.02,Graduate,0.0,6.0,8.5,6.0,13.0,0.0
1,9500,1,129.0,9,120.0,0,0,1,1,0,20,-1.7,Graduate,0.0,8.0,8.0,7.0,15.028571428571428,0.0
1,9238,1,116.0,5,111.1,0,0,1,1,0,18,-4.06,Graduate,0.0,6.0,7.5,6.0,11.857142857142858,0.0
1,9773,1,130.0,3,128.6,1,0,1,1,0,19,-3.12,Graduate,0.0,6.0,8.0,5.0,12.2,0.0
7,9556,3,130.0,4,130.0,0,0,0,1,0,23,1.74,Dropout,3.0,7.5,7.5,3.0,12.5,2.0
1,171,1,116.0,5,111.1,0,0,1,1,0,21,0.79,Dropout,0.0,0.0,0.0,0.0,0.0,0.0
17,9147,1,136.0,9,122.7,1,0,1,1,0,18,-4.06,Enrolled,0.0,5.0,6.5,4.5,12.25,0.0
1,171,1,147.0,7,134.4,1,0,1,1,1,18,1.74,Graduate,0.0,0.0,0.0,0.0,0.0,0.0
1,9070,1,117.0,5,131.0,1,1,0,1,0,21,-3.12,Dropout,0.0,6.0,6.5,0.5,7.0,3.5
51,9238,1,141.0,5,125.0,0,0,1,1,0,22,2.02,Dropout,0.0,6.0,6.5,0.0,0.0,0.0
18,9556,1,133.1,2,106.0,1,0,1,1,0,21,3.51,Graduate,0.0,7.0,9.5,6.0,12.479166666666668,0.0
39,9500,1,133.1,9,128.0,1,0,0,1,0,32,-0.92,Dropout,0.0,7.5,0.0,0.0,0.0,0.0
7,9003,3,120.0,4,120.0,1,0,1,1,0,27,-4.06,Graduate,12.0,15.5,18.5,15.5,11.248987854251013,0.5
1,9500,1,148.0,9,134.8,1,0,1,1,0,18,0.32,Graduate,0.0,7.0,7.0,6.0,13.35,0.0
39,9070,1,130.0,5,112.0,1,0,1,1,1,24,-4.06,Graduate,0.0,6.0,6.0,4.0,15.5,0.0
1,9130,1,120.0,1,116.1,1,0,1,1,0,22,-1.7,Dropout,0.0,5.0,7.0,1.0,5.25,0.0
43,9130,1,120.0,3,120.0,1,0,0,1,0,22,1.74,Dropout,0.0,5.0,3.0,0.0,0.0,1.0
1,9147,1,133.0,9,119.7,1,0,1,1,0,19,0.79,Graduate,0.0,5.0,7.0,5.0,12.541666666666668,0.0
17,9119,1,129.0,4,117.1,1,0,1,1,0,19,0.32,Dropout,0.0,5.0,7.5,0.0,0.0,0.0
1,9085,1,118.0,3,112.4,1,0,1,1,0,21,1.74,Enrolled,0.0,5.0,11.0,3.5,11.05,2.0
1,9500,1,140.0,2,131.0,1,0,1,0,1,18,-3.12,Graduate,0.0,8.0,8.0,8.0,13.88125,0.0
1,9254,1,127.0,3,130.9,1,0,1,0,0,18,-3.12,Graduate,0.0,6.0,8.0,5.5,11.966666666666667,0.0
1,171,1,131.0,9,134.9,1,1,1,0,0,20,-0.92,Dropout,0.0,0.0,0.0,0.0,0.0,0.0
17,9238,1,132.0,4,127.1,1,0,1,0,0,19,0.79,Graduate,0.0,6.0,7.0,6.0,13.261904761904763,0.0
17,9773,1,113.0,191,110.2,1,1,1,0,0,19,3.51,Graduate,0.0,6.0,6.0,5.5,12.05,0.0
17,9254,1,115.0,9,108.7,1,0,1,0,1,18,1.79,Graduate,0.0,6.0,7.5,5.5,11.366666666666667,0.0
1,9130,1,133.1,3,138.0,1,0,1,0,0,20,-0.92,Enrolled,0.0,6.0,10.5,6.0,13.166666666666668,0.0
44,9070,39,150.0,3,147.7,0,1,1,0,1,22,1.79,Graduate,3.5,8.0,8.0,8.0,13.674603174603176,0.0
39,9556,19,133.1,9,123.0,0,0,1,0,0,31,1.79,Graduate,0.0,7.0,10.5,6.5,12.030952380952382,0.0
17,9853,1,141.0,9,142.8,0,0,1,0,1,19,-0.92,Graduate,0.0,7.0,7.0,7.0,14.285714285714285,0.0
1,171,1,140.0,3,138.3,1,0,1,0,0,18,1.79,Enrolled,0.0,0.0,0.0,0.0,0.0,0.0
1,9254,1,136.0,9,125.2,1,0,1,0,1,18,3.51,Graduate,0.0,6.0,8.5,5.5,12.342857142857143,0.0
1,9085,1,140.0,1,141.8,0,0,1,0,0,21,0.32,Graduate,0.0,5.0,6.0,5.0,14.100000000000001,0.0
17,9500,1,143.0,9,130.6,1,0,1,0,1,18,0.79,Graduate,0.0,7.5,8.5,7.5,14.109375,0.0
44,9147,39,130.0,2,130.0,0,1,0,1,0,25,-4.06,Dropout,0.0,5.0,5.5,0.0,0.0,0.0
15,9119,1,133.1,5,100.0,0,1,1,1,0,21,2.02,Dropout,0.0,5.5,6.5,0.0,0.0,0.0
18,9500,1,129.0,5,119.0,1,0,1,0,1,19,1.74,Graduate,0.0,8.0,8.0,7.0,12.342857142857143,0.0
1,9773,1,132.0,9,124.3,1,0,1,0,0,19,1.74,Enrolled,0.0,6.0,6.5,5.0,11.5,0.0
17,9254,1,118.0,5,122.2,1,0,1,0,0,22,0.32,Dropout,0.0,6.0,12.0,2.5,10.75,0.0
15,9147,1,150.0,9,150.0,0,0,1,1,0,19,1.79,Graduate,0.0,5.0,6.5,5.0,11.1,0.0
39,8014,19,133.1,9,135.5,0,0,1,0,0,58,2.02,Dropout,0.0,6.0,6.0,0.0,0.0,0.0
16,9238,1,122.0,9,127.3,1,0,1,0,1,19,1.74,Graduate,0.0,6.0,7.0,5.0,11.625,0.0
43,9670,1,127.0,9,127.0,1,0,1,1,0,23,-3.12,Graduate,3.5,9.5,10.5,8.0,11.1,0.0
1,9773,1,122.0,9,126.9,1,0,1,0,1,19,-3.12,Enrolled,0.0,6.0,11.0,3.5,11.333333333333332,0.0
18,9500,1,131.0,4,127.5,1,0,1,0,0,18,0.79,Graduate,0.0,7.5,7.5,7.5,13.984821428571427,0.0
1,9085,1,130.0,90,122.0,0,0,1,0,0,20,0.32,Graduate,0.0,5.0,7.0,4.5,12.466666666666667,0.0
17,9085,1,130.0,90,115.8,0,0,0,0,0,18,-1.7,Dropout,0.0,6.0,0.0,0.0,0.0,0.0
17,9670,1,130.0,5,121.6,0,0,1,0,0,18,3.51,Graduate,0.0,6.0,7.0,5.5,13.633333333333333,0.0
17,9147,1,122.0,5,116.4,1,1,1,0,1,18,2.02,Graduate,0.0,5.0,5.0,5.0,11.7,0.0
39,9130,1,114.0,9,120.0,0,0,1,0,0,24,2.02,Dropout,0.0,6.0,9.5,5.5,12.702380952380953,0.0
17,9853,1,143.0,9,127.3,1,0,1,0,0,18,1.74,Dropout,0.0,6.0,7.0,5.0,11.600000000000001,0.0
1,9147,1,127.0,5,123.5,1,0,1,0,1,19,-3.12,Enrolled,0.0,5.0,8.0,4.0,12.133333333333333,0.0
17,9238,1,141.0,9,125.6,1,0,1,0,1,19,3.51,Graduate,0.0,6.0,7.0,6.0,11.583333333333334,0.0
1,9254,1,129.0,6,118.5,1,0,1,0,0,18,0.32,Graduate,0.0,6.0,6.0,6.0,11.083333333333332,0.0
1,9130,1,140.0,9,129.5,1,0,1,0,0,18,-1.7,Enrolled,0.0,5.0,7.5,4.5,13.45,0.5
1,171,1,137.0,5,134.6,1,0,1,0,1,19,1.74,Graduate,0.0,0.0,0.0,0.0,0.0,0.0
44,9085,1,140.0,2,140.0,0,0,1,0,0,22,0.79,Graduate,1.5,6.0,9.0,5.0,12.416666666666668,0.0
1,9254,1,143.0,1,133.2,1,0,1,0,0,19,1.74,Enrolled,0.0,6.0,12.5,3.5,13.45,0.0
17,9238,1,138.0,9,133.5,1,0,1,0,1,21,-1.7,Enrolled,0.0,6.0,10.5,3.5,11.225,0.0
17,9773,1,120.0,9,117.9,1,0,1,0,1,21,3.51,Graduate,0.0,6.0,6.5,5.5,12.916666666666668,0.0
1,9500,1,144.0,5,128.0,1,0,1,0,1,18,1.74,Graduate,0.0,8.0,11.0,7.0,12.90857142857143,0.0
1,9853,1,123.0,4,113.2,1,0,1,0,0,20,1.74,Dropout,0.0,6.0,11.5,2.5,11.0,0.0
1,9254,1,129.0,7,122.0,1,0,1,0,1,18,0.32,Enrolled,0.0,6.0,8.5,5.5,10.916666666666668,0.0
16,9070,1,152.0,4,156.9,1,0,1,0,0,19,-1.7,Graduate,0.0,6.0,7.5,6.0,15.583333333333334,0.0
1,9500,1,130.0,9,125.1,1,0,1,0,1,18,2.02,Enrolled,0.0,7.5,10.0,6.0,12.845833333333335,0.0
15,9147,1,133.1,3,100.0,0,1,0,1,0,26,2.02,Dropout,4.0,6.5,6.5,4.0,13.5,0.0
15,9119,1,160.0,143,160.0,0,1,1,0,0,19,3.51,Enrolled,0.0,5.5,11.0,2.0,12.25,0.5
39,8014,1,140.0,9,101.0,0,0,1,0,0,35,-4.06,Graduate,0.0,6.0,6.5,6.0,12.333333333333332,0.0
18,9670,1,133.0,9,121.5,1,0,1,0,1,19,1.79,Graduate,0.0,6.0,6.5,6.0,13.666666666666668,0.0
1,9085,1,138.0,9,126.8,1,0,1,1,0,18,1.74,Graduate,0.0,5.0,8.0,4.5,12.160714285714285,0.5
1,9670,1,142.0,7,132.9,0,0,1,1,0,19,0.32,Graduate,0.0,5.0,5.0,4.0,13.375,0.0
1,171,1,115.0,9,134.3,1,0,1,1,0,25,1.79,Graduate,15.0,17.0,20.5,17.0,11.833333333333332,0.0
17,9254,1,125.0,4,120.5,1,0,1,1,0,18,2.02,Graduate,0.0,6.0,6.0,6.0,14.333333333333332,0.0
17,9003,1,170.0,9,144.1,1,1,0,1,0,26,-0.92,Dropout,0.0,6.0,9.0,0.0,0.0,0.0
43,9991,1,140.0,6,100.0,0,0,1,1,0,34,-3.12,Graduate,0.0,5.0,5.5,5.0,13.816666666666666,0.0
1,9254,1,110.0,4,114.8,1,0,0,1,0,18,-1.7,Dropout,0.0,5.0,5.5,0.0,0.0,0.0
1,171,1,114.0,3,111.9,0,0,0,1,0,18,-3.12,Dropout,0.0,0.0,0.0,0.0,0.0,0.0
17,9119,1,138.0,4,125.4,1,0,1,1,1,18,3.51,Dropout,0.0,5.0,9.0,3.5,12.291666666666668,0.0
44,9003,39,140.0,9,140.0,0,0,1,1,0,20,1.79,Dropout,0.0,6.0,12.0,3.0,12.583333333333332,0.0
44,9070,39,140.0,4,140.0,0,0,1,1,0,25,-0.92,Graduate,3.5,8.0,9.0,7.5,12.563492063492063,0.0
17,9130,1,132.0,4,127.8,0,0,1,1,0,18,2.02,Dropout,0.0,6.0,9.5,5.5,12.083333333333332,0.0
1,9003,1,148.0,9,131.6,1,0,1,1,0,19,-4.06,Graduate,6.0,12.0,19.0,11.5,12.153846153846153,1.0
1,171,1,132.0,4,119.4,1,0,1,1,0,20,1.74,Dropout,0.0,0.0,0.0,0.0,0.0,0.0
18,9238,1,126.0,5,129.9,1,0,1,1,1,20,1.74,Graduate,1.5,6.5,7.5,6.0,11.583333333333332,0.0
1,9119,1,121.0,2,114.0,0,0,1,1,0,20,0.32,Enrolled,0.0,5.0,8.0,4.0,11.925,1.0
1,9147,1,120.0,4,113.4,1,0,1,1,1,19,2.02,Dropout,0.0,5.0,5.0,0.0,0.0,0.0
1,9147,1,123.0,4,117.8,0,0,1,1,0,20,3.51,Enrolled,0.0,5.0,9.0,4.5,12.5,0.0
1,9500,1,122.0,3,114.3,1,0,1,1,0,18,2.02,Enrolled,0.0,7.5,10.0,6.0,13.009166666666667,0.5
1,9670,1,136.0,143,129.7,1,0,1,1,0,19,-0.92,Enrolled,0.0,6.0,11.0,2.5,11.25,1.5
18,9147,1,119.0,7,112.0,1,0,0,1,0,20,-3.12,Dropout,0.0,5.0,2.5,0.0,0.0,0.0
39,9670,1,120.0,7,140.0,0,0,1,1,0,24,-4.06,Dropout,0.0,6.0,15.5,4.0,11.5,0.0
44,9003,39,150.0,9,150.0,1,0,1,1,0,20,-0.92,Graduate,0.0,6.0,9.5,5.5,12.57857142857143,0.0
1,9670,1,121.0,2,122.4,1,0,1,1,0,19,-3.12,Enrolled,0.0,5.0,6.0,3.5,11.833333333333332,0.0
51,9119,1,140.0,4,150.0,0,0,1,1,0,23,3.51,Dropout,0.0,5.0,9.0,1.5,11.5,0.0
17,9254,1,135.0,4,135.0,1,0,1,1,0,20,0.32,Enrolled,0.0,6.0,8.5,5.5,11.116666666666667,0.0
43,8014,1,116.0,0,116.2,0,0,1,1,0,21,-3.12,Graduate,6.0,11.0,14.0,9.5,12.602272727272728,0.0
17,9119,1,120.0,9,120.4,1,0,1,1,0,20,1.74,Dropout,0.0,5.0,6.0,1.5,5.5,0.0
17,9119,1,126.0,4,122.9,1,0,1,1,0,21,0.32,Enrolled,0.0,5.0,8.5,4.0,13.725,1.0
1,9773,1,170.0,9,155.0,0,0,1,1,1,18,2.02,Graduate,0.0,6.0,6.0,6.0,14.833333333333332,0.0
1,9254,1,123.0,4,123.4,1,0,1,1,0,18,2.02,Graduate,0.0,6.0,7.0,6.0,13.0,0.0
17,9147,1,120.0,3,124.2,1,0,1,1,0,18,0.79,Enrolled,0.0,5.0,11.0,4.5,11.7,0.0
44,9003,39,130.0,7,130.0,1,0,1,1,0,20,-4.06,Enrolled,0.0,6.0,11.5,4.5,11.55,0.0
17,9773,1,130.0,4,126.2,0,0,1,1,1,18,-0.92,Graduate,0.0,6.0,7.5,6.0,11.80952380952381,0.0
17,9773,1,117.0,0,120.5,1,0,1,1,0,19,-3.12,Dropout,0.0,6.0,6.0,0.0,0.0,0.5
17,9119,1,131.0,9,123.7,1,0,1,1,0,20,1.74,Enrolled,0.0,5.0,7.5,3.0,12.25,0.0
17,9130,1,130.0,4,122.5,0,0,1,1,0,19,-3.12,Graduate,0.0,5.0,10.0,4.5,12.3,0.5
39,9991,1,133.0,9,139.2,1,1,1,1,0,33,-1.7,Dropout,0.0,5.0,10.0,2.0,12.0,0.5
51,171,1,128.0,3,131.2,1,0,1,1,0,21,3.51,Graduate,5.0,11.5,14.0,11.5,13.333333333333332,0.0
